dv1_x,dv1_y,dv,time_cost
0.82,-2.7,3.8943755065836507,2483600
0.82,-2.6900000000000004,3.868226449373032,2534100
0.82,-2.6800000000000006,4.658834008149542,2580400
0.82,-2.670000000000001,inf,4799300
0.82,-2.660000000000001,inf,4799300
0.83,-2.7,4.048102271346098,2458900
0.83,-2.6900000000000004,4.1266312628302275,3447100
0.83,-2.6800000000000006,4.144709002746081,2557300
0.83,-2.670000000000001,5.341395251561167,2623300
0.83,-2.660000000000001,inf,4799300
0.84,-2.7,4.225096804327461,2436300
0.84,-2.6900000000000004,3.9051837782634506,2485800
0.84,-2.6800000000000006,3.8819507202666417,2535900
0.84,-2.670000000000001,4.662381802470491,2582600
0.84,-2.660000000000001,inf,4799300
0.85,-2.7,4.059100456357223,1443900
0.85,-2.6900000000000004,4.061068790506533,2461200
0.85,-2.6800000000000006,4.13894210783645,3448000
0.85,-2.670000000000001,4.151504628315659,2559100
0.85,-2.660000000000001,5.331115818861509,2624100
